FILE [DEBUG] 2022-02-02 18:11:27,316 main Sorter Logger - Bubble sort progressing: [20, 7, 0, 31, 36, 42, 44, 52, 57, 55, 56, 57, 54, 60, 32, 65, 69, 33, 70, 71, 33, 9, 74, 70, 20, 2, 75, 67, 66, 65, 45, 42, 21, 54, 4, 76, 74, 34, 58, 41, 62, 21, 57, 78, 39, 17, 65, 78, 60, 29, 46, 79, 24, 71, 82, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 84, 0, 31, 86, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,317 main Sorter Logger - Bubble sort progressing: [7, 0, 20, 31, 36, 42, 44, 52, 55, 56, 57, 54, 57, 32, 60, 65, 33, 69, 70, 33, 9, 71, 70, 20, 2, 74, 67, 66, 65, 45, 42, 21, 54, 4, 75, 74, 34, 58, 41, 62, 21, 57, 76, 39, 17, 65, 78, 60, 29, 46, 78, 24, 71, 79, 26, 68, 82, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 82, 0, 31, 84, 75, 66, 14, 32, 41, 30, 85, 10, 79, 39, 65, 86, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,317 main Sorter Logger - Bubble sort progressing: [0, 7, 20, 31, 36, 42, 44, 52, 55, 56, 54, 57, 32, 57, 60, 33, 65, 69, 33, 9, 70, 70, 20, 2, 71, 67, 66, 65, 45, 42, 21, 54, 4, 74, 74, 34, 58, 41, 62, 21, 57, 75, 39, 17, 65, 76, 60, 29, 46, 78, 24, 71, 78, 26, 68, 79, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 82, 0, 31, 82, 75, 66, 14, 32, 41, 30, 84, 10, 79, 39, 65, 85, 86, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,317 main Sorter Logger - Bubble sort progressing: [0, 7, 20, 31, 36, 42, 44, 52, 55, 54, 56, 32, 57, 57, 33, 60, 65, 33, 9, 69, 70, 20, 2, 70, 67, 66, 65, 45, 42, 21, 54, 4, 71, 74, 34, 58, 41, 62, 21, 57, 74, 39, 17, 65, 75, 60, 29, 46, 76, 24, 71, 78, 26, 68, 78, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 79, 0, 31, 82, 75, 66, 14, 32, 41, 30, 82, 10, 79, 39, 65, 84, 85, 86, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,317 main Sorter Logger - Bubble sort progressing: [0, 7, 20, 31, 36, 42, 44, 52, 54, 55, 32, 56, 57, 33, 57, 60, 33, 9, 65, 69, 20, 2, 70, 67, 66, 65, 45, 42, 21, 54, 4, 70, 71, 34, 58, 41, 62, 21, 57, 74, 39, 17, 65, 74, 60, 29, 46, 75, 24, 71, 76, 26, 68, 78, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 78, 0, 31, 79, 75, 66, 14, 32, 41, 30, 82, 10, 79, 39, 65, 82, 84, 85, 86, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,317 main Sorter Logger - Bubble sort progressing: [0, 7, 20, 31, 36, 42, 44, 52, 54, 32, 55, 56, 33, 57, 57, 33, 9, 60, 65, 20, 2, 69, 67, 66, 65, 45, 42, 21, 54, 4, 70, 70, 34, 58, 41, 62, 21, 57, 71, 39, 17, 65, 74, 60, 29, 46, 74, 24, 71, 75, 26, 68, 76, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 78, 0, 31, 78, 75, 66, 14, 32, 41, 30, 79, 10, 79, 39, 65, 82, 82, 84, 85, 86, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,317 main Sorter Logger - Bubble sort progressing: [0, 7, 20, 31, 36, 42, 44, 52, 32, 54, 55, 33, 56, 57, 33, 9, 57, 60, 20, 2, 65, 67, 66, 65, 45, 42, 21, 54, 4, 69, 70, 34, 58, 41, 62, 21, 57, 70, 39, 17, 65, 71, 60, 29, 46, 74, 24, 71, 74, 26, 68, 75, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 76, 0, 31, 78, 75, 66, 14, 32, 41, 30, 78, 10, 79, 39, 65, 79, 82, 82, 84, 85, 86, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,317 main Sorter Logger - Bubble sort progressing: [0, 7, 20, 31, 36, 42, 44, 32, 52, 54, 33, 55, 56, 33, 9, 57, 57, 20, 2, 60, 65, 66, 65, 45, 42, 21, 54, 4, 67, 69, 34, 58, 41, 62, 21, 57, 70, 39, 17, 65, 70, 60, 29, 46, 71, 24, 71, 74, 26, 68, 74, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 75, 0, 31, 76, 75, 66, 14, 32, 41, 30, 78, 10, 78, 39, 65, 79, 79, 82, 82, 84, 85, 86, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,317 main Sorter Logger - Bubble sort progressing: [0, 7, 20, 31, 36, 42, 32, 44, 52, 33, 54, 55, 33, 9, 56, 57, 20, 2, 57, 60, 65, 65, 45, 42, 21, 54, 4, 66, 67, 34, 58, 41, 62, 21, 57, 69, 39, 17, 65, 70, 60, 29, 46, 70, 24, 71, 71, 26, 68, 74, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 74, 0, 31, 75, 75, 66, 14, 32, 41, 30, 76, 10, 78, 39, 65, 78, 79, 79, 82, 82, 84, 85, 86, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
FILE [DEBUG] 2022-02-02 18:11:27,317 main Sorter Logger - Bubble sort progressing: [0, 7, 20, 31, 36, 32, 42, 44, 33, 52, 54, 33, 9, 55, 56, 20, 2, 57, 57, 60, 65, 45, 42, 21, 54, 4, 65, 66, 34, 58, 41, 62, 21, 57, 67, 39, 17, 65, 69, 60, 29, 46, 70, 24, 70, 71, 26, 68, 71, 2, 53, 72, 25, 69, 58, 25, 54, 63, 61, 58, 74, 0, 31, 74, 75, 66, 14, 32, 41, 30, 75, 10, 76, 39, 65, 78, 78, 79, 79, 82, 82, 84, 85, 86, 86, 86, 88, 90, 91, 92, 92, 93, 93, 94, 96, 98, 99, 99, 100, 100]
